"year","wiki_ref","wiki_query","producer","distributor","name","country","director","cinematography","editing","studio","budget","gross","runtime","music","writer","starring","language","released"
2000,"/wiki/The_Ninth_Gate","The_Ninth_Gate","['Roman Polanski']","['Bac Films', 'Araba Films', 'small', 'Artisan Entertainment', 'small']","The Ninth Gate","['France', 'Spain', 'Spain']","['Roman Polanski']","['Darius Khondji']","['Darius Khondji']","['Canal+']","38000000","58400000","133","['Wojciech Kilar']","[]","['Johnny Depp', 'Lena Olin', 'Frank Langella', 'James Russo', 'Jack Taylor', 'Jack Taylor', 'Emmanuelle Seigner']","['English']",""
2000,"/wiki/Final_Destination_(film)","Final_Destination_(film)","['Warren Zide', 'Craig Perry', 'Glen Morgan']","['New Line Cinema']","Final Destination","['United States']","['James Wong', 'James Wong']","['Robert McLachlan', 'Robert McLachlan']","['Robert McLachlan', 'Robert McLachlan']","['Zide/Perry Productions', 'Hard Eight Pictures']","23000000","112900000","98","['Shirley Walker']","[]","['Devon Sawa', 'Ali Larter', 'Kerr Smith', 'Tony Todd']","['English']","2000/3/17"
2000,"/wiki/Romeo_Must_Die","Romeo_Must_Die","['Joel Silver', 'Jim Van Wyck']","['Warner Bros.']","Romeo Must Die","['United States']","['Andrzej Bartkowiak']","['Glen MacPherson']","['Glen MacPherson']","['Silver Pictures']","25000000","91000000","115","['Stanley Clarke', 'Timbaland']","[]","['Jet Li', 'Aaliyah', 'Isaiah Washington', 'Russell Wong', 'DMX', 'DMX', 'Delroy Lindo']","['English']","2000/3/22"
2000,"/wiki/Here_on_Earth_(film)","Here_on_Earth_(film)","['David T. Friendly']","['20th Century Fox']","Here on Earth","['United States']","['Mark Piznarski']","[""Michael D. O'Shea""]","[""Michael D. O'Shea""]","[]","15000000","10000000","96","['Kelly Jones', 'Andrea Morricone']","['Michael Seitzman']","['Chris Klein', 'Chris Klein', 'Leelee Sobieski', 'Josh Hartnett', 'Bruce Greenwood', ""Annette O'Toole"", 'Annie Corley', 'Stuart Wilson', 'Stuart Wilson', 'Michael Rooker']","['English']","2000/3/24"
2000,"/wiki/Whatever_It_Takes_(2000_film)","Whatever_It_Takes_(2000_film)","['Matt Berenson', 'Bill Brown', 'Vicky Dee Rock', 'Paul Schiff', 'Mark Schwahn']","['Columbia Pictures']","Whatever It Takes","['United States']","['David Raynr']","['Tim Suhrstedt']","['Tim Suhrstedt']","['Phoenix Pictures']","32000000","9000000","94","['Edward Shearmur']","['Mark Schwahn']","['Shane West', 'Marla Sokoloff', ""Jodi Lyn O'Keefe"", 'James Franco']","['English']","2000/3/31"
2000,"/wiki/High_Fidelity_(film)","High_Fidelity_(film)","['Tim Bevan', 'Rudd Simmons']","['Walt Disney Studios Motion Pictures', 'Buena Vista Pictures']","High Fidelity","['United States']","['Stephen Frears']","['Seamus McGarvey']","['Seamus McGarvey']","['Touchstone Pictures', 'Working Title Films', 'Dogstar Films', 'New Crime Productions']","30000000","47100000","113","['Howard Shore']","[]","['John Cusack', 'Jack Black', 'Lisa Bonet', 'Joelle Carter', 'Joan Cusack', 'Sara Gilbert', 'Iben Hjejle', 'Todd Louiso', 'Lili Taylor', 'Natasha Gregson Wagner']","['English']","2000/3/31"
2000,"/wiki/Price_of_Glory","Price_of_Glory","['Arthur Friedman', 'Moctesuma Esparza']","['New Line Cinema']","Price of Glory","['United States']","['Carlos \xc3\x81vila']","['Affonso Beato']","['Affonso Beato']","['Shoreline Entertainment']","18000000","3000000","118","['Joseph Julian Gonzalez', 'Joseph Juli\xc3\xa1n Gonz\xc3\xa1lez']","['Phil Berger']","['Jimmy Smits', 'Maria del Mar', 'Maria del Mar', 'Jon Seda', 'Clifton Collins Jr.', 'Ernesto Hernandez', 'Ron Perlman', 'Louis Mandylor']","['English']","2000/03/31"
2000,"/wiki/The_Skulls_(film)","The_Skulls_(film)","['Neal H. Moritz', 'John Pogue']","['Universal Pictures']","The Skulls","['United States']","['Rob Cohen']","['Shane Hurlbut']","['Shane Hurlbut']","['Original Film']","15000000","50800000","107","['Randy Edelman']","['John Pogue']","['Joshua Jackson', 'Paul Walker', 'Hill Harper', 'Leslie Bibb', 'Christopher McDonald', 'Steve Harris', 'Steve Harris', 'William L. Petersen', 'William Petersen', 'Craig T. Nelson']","['English']","2000/03/31"
2000,"/wiki/Black_and_White_(1999_drama_film)","Black_and_White_(1999_drama_film)","['Daniel Bigel', 'Michael Mailer', 'Ron Rotholz', 'Edward R. Pressman']","['Screen Gems']","Black and White","['United States']","['James Toback']","['David Ferrara']","['David Ferrara']","['Palm Pictures']","12000000","5000000","98","['American Cream Team']","['James Toback']","['Robert Downey Jr.', 'Gaby Hoffmann', 'Jared Leto', 'Joe Pantoliano', 'Oliver', 'Grant', 'Power', 'Raekwon', 'Claudia Schiffer', 'William Lee Scott', 'Brooke Shields', 'Ben Stiller', 'Mike Tyson', 'Elijah Wood']","['English']","1999/9/4"
2000,"/wiki/Ready_to_Rumble","Ready_to_Rumble","['Robert F. Newmyer', 'Jeffrey Silver', 'Michael Tollin']","['Warner Bros.']","Ready to Rumble","['United States']","['Brian Robbins']","['Clark Mathis']","['Clark Mathis']","['Outlaw Productions', 'Bel Air Entertainment', 'Tollin/Robbins Productions']","24000000","12500000","107","['George S. Clinton']","['Steven Brill', 'Steven Brill']","['David Arquette', 'Oliver Platt', 'Scott Caan', 'Bill Goldberg', 'Rose McGowan', 'Diamond Dallas Page', 'Joe Pantoliano', 'Martin Landau']","['English']",""
